productcode,productlink,sensordet,operatetemp,isp,sortmp,fpsdet,listid,productfilter,sensorformat,webstorelink,chromedet,sortfps,connectordet,resolutiondet
NileCAM82_CUQRB5(Qualcomm&reg;  RB5),/qualcomm-embedded-cameras/robotics-rb5-kit/sony-starvis-imx485-low-light-gmsl2-cameras.asp,IMX485,-30°C to 70°C,No,8,30FPS,190,,1/1.2,/webstore.asp#NileCAM82_CUQRB5,Color,30,GMSL2,8.0 MP
e-CAM82_CUQRB5(Qualcomm&reg;  RB5),/qualcomm-embedded-cameras/robotics-rb5-kit/sony-starvis-imx485-8mp-mipi-cameras.asp,IMX485,-30°C to 70°C,No,8,30FPS,191,,1/2.8,/webstore.asp#e-CAM82_CUQRB5,Color,30,MIPI CSI-2,8.0 MP
e-CAM56_CUQRB5(Qualcomm&reg;  RB5),/qualcomm-embedded-cameras/robotics-rb5-kit/5mp-imx568-global-shutter-mipi-camera.asp,IMX568,-30°C to 70°C,No,5,90FPS,192,all platform,1/1.8,/webstore.asp#e-CAM56_CUQRB5,Color,90,MIPI CSI-2,5.0 MP
NileCAM210_CUQRB5(Qualcomm&reg;  RB5),/qualcomm-embedded-cameras/robotics-rb5-kit/sony-starvis-imx462-low-light-gmsl2-cameras.asp,IMX462,-30°C to 70°C,No,2,30FPS,193,,1/2.8,/webstore.asp#NileCAM210_CUQRB5,Color,30,GMSL2,Full HD
e-CAM210_CUQRB5(Qualcomm&reg;  RB5),/qualcomm-embedded-cameras/robotics-rb5-kit/sony-starvis-imx462-fhd-mipi-cameras.asp,IMX462,-30°C to 70°C,No,2,30FPS,194,,1/2.8,/webstore.asp#e-CAM210_CUQRB5,Color,30,MIPI CSI-2,2.0 MP
e-CAM200_CUQRB5&nbsp;&nbsp;(Qualcomm&reg;  RB5),/qualcomm-embedded-cameras/robotics-rb5-kit/20mp-ar2020-high-resolution-multi-camera.asp,AR2020,-30°C to 70°C,No,20,30FPS,195,platform,1/1.8,/webstore.asp#e-CAM200_CUQRB5,Color & NIR,30,MIPI CSI-2,20.0 MP
NileCAM25_CUQRB5(Qualcomm&reg;  RB5),/qualcomm-embedded-cameras/robotics-rb5-kit/ar0234-global-shutter-gmsl2-cameras.asp,AR0234,-30°C to 70°C,Yes,2,30FPS,196,platform,1/2.6,/webstore.asp#NileCAM25_CUQRB5,Color,30,GMSL2,Full HD
e-CAM25_CUQRB5(Qualcomm&reg;  RB5),/qualcomm-embedded-cameras/robotics-rb5-kit/ar0234-global-shutter-mipi-cameras.asp,AR0234,-30°C to 70°C,Yes,2,30FPS,197,platform,1/2.6,/webstore.asp#e-CAM25_CUQRB5,Color,30,MIPI CSI-2,2.0 MP
NileCAM21_CUQRB5(Qualcomm&reg;  RB5),/qualcomm-embedded-cameras/robotics-rb5-kit/ar0233-fhd-hdr-gmsl2-cameras.asp,AR0233AT,-40°C to 85°C,Yes,2,30FPS,198,,1/2.5,/webstore.asp#NileCAM21_CUQRB5,Color,30,GMSL2,Full HD
e-CAM21_CUQRB5(Qualcomm&reg;  RB5),/qualcomm-embedded-cameras/robotics-rb5-kit/ar0233at-fhd-hdr-mipi-cameras.asp,AR0233AT,-30°C to +70°C,Yes,2,30FPS,199,,1/2.5,/webstore.asp#e-CAM21_CUQRB5,Color,30,MIPI CSI-2,Full HD
e-CAM0M30_TOF_CUQRB5(Qualcomm&reg;  RB5),/qualcomm-embedded-cameras/robotics-rb5-kit/3d-mipi-tof-camera-qrb5.asp,Depth,0°C to 50°C,Yes,2,30FPS,200,,1/4,/webstore.asp#e-CAM0M30_TOF_CUQRB5,Depth & IR,30,MIPI CSI-2,VGA
SmarteCAM&nbsp;&nbsp;(TX2),/smart-camera.asp,IMX290,-20°C to 60°C,Yes,2,60FPS,201,,1/2.8,/webstore.asp#SmarteCAM,Color,60,-,2.0 MP
e-CAM30A_HEXCUTX2&nbsp;&nbsp;(TX2/AGX Xavier),/multiple-csi-cameras-for-nvidia-jetson-tx2.asp,AR0330,-30°C to 70°C,Yes,3,60FPS,202,,1/3,/webstore.asp#e-CAM30A_HEXCUTX2,Color,60,MIPI CSI-2,3.4 MP
NileCAM200 (GMSL2),/camera-modules/20mp-onsemi-ar2020-gmsl2-camera-module.asp,AR2020,-30°C to 70°C,No,20,24FPS,203,all gmsl-cameras high-resolution,1/1.8,/webstore.asp#NileCAM200,Color & NIR,24,GMSL2,20.0 MP
NileCAM130 (GMSL2),/camera-modules/ar1335-13mp-gmsl2-camera-module.asp,AR1335,-30°C to 70°C,Yes,13,72FPS,204,all gmsl-cameras high-resolution,1/3.2,/webstore.asp#NileCAM130,Color,72,GMSL2,13.0MP
Nile3CAM85 (GMSL3),/camera-modules/sony-starvis-imx715-8mp-gmsl3-camera-module.asp,IMX715,-30°C to 70°C,No,8,90FPS,205,high-resolution,1/2.8,/webstore.asp#Nile3CAM85,Color,90,GMSL3,8.0MP
NileCAM130M (GMSL2),/camera-modules/onsemi-ar1335-4k-gmsl2-camera-module.asp,AR1335M,-30°C to 70°C,No,13,30FPS,206,,1/3.2,/webstore.asp#NileCAM130M,Mono,30,GMSL2,13.0 MP
NileCAM85 (GMSL2),/camera-modules/sony-starvis-imx715-low-light-gmsl2-camera-module.asp,IMX715,-30°C to 70°C,No,8,30FPS,207,,1/2.8,/webstore.asp#nilecam81,Color,30,GMSL2,8.0 MP
NileCAM84 (GMSL2),/camera-modules/4k-onsemi-ar0830-gmsl2-camera-module.asp,AR0830,-30°C to 70°C,No,8,120FPS,208,high-resolution,1/2.9,/webstore.asp#NileCAM84,Color,120,GMSL2,8.0 MP
NileCAM82 (GMSL2),/camera-modules/sony-starvis-imx485-4k-gmsl2-camera-module.asp,IMX485,-30°C to 70°C,No,8,62FPS,209,,1/1.2,/webstore.asp#NileCAM82,Color,62,GMSL2,8.0 MP
NileCAM210 (GMSL2),/camera-modules/sony-starvis-imx462-low-light-gmsl2-camera-module.asp,IMX462,-30°C to 70°C,No,2,60FPS,210,,1/2.8,/webstore.asp#NileCAM210,Color,60,GMSL2,2.0 MP
NileCAM81 (GMSL2),/camera-modules/ar0821-4k-hdr-gmsl2-camera-module.asp,AR0821,-30°C to 70°C,Yes,8,60FPS,211,all gmsl-cameras high-resolution,1/1.7,/webstore.asp#nilecam81,Color,60,GMSL2,8.0 MP
NileCAM80 (GMSL2),/camera-modules/sony-starvis-imx415-4k-gmsl2-camera-module.asp,IMX415,-30°C to 70°C,Yes,8,60FPS,212,all gmsl-cameras high-resolution global-shutter,1/2.8,/webstore.asp,Color,60,GMSL2,8.0 MP
NileCAM56 (GMSL2),/camera-modules/5mp-sony-imx568-global-shutter-gmsl2-camera-module.asp,IMX568,-30°C to 70°C,No,5,90FPS,213,global-shutter,1/1.8,/webstore.asp#NileCAM56,Color,90,GMSL2,5.0 MP
NileCAM29&nbsp;&nbsp;(GMSL2),/camera-modules/fhd-ov2311-global-shutter-monochrome-gmsl2.asp,OV2311,-30°C to 70°C,no,2,40FPS,214,,1/2.9,/webstore.asp#NileCAM29,Mono,40,GMSL2,2.0 MP
NileCAM27&nbsp;&nbsp;(GMSL2),/camera-modules/fhd-ov2312-global-shutter-rgb-ir-gmsl2.asp,OV2312,-40°C to 80°C,Yes,2,36FPS,215,,1/2.9,/webstore.asp#NileCAM29,Color & NIR,40,GMSL2,2.0 MP
NileCAM25&nbsp;&nbsp;(GMSL2),/camera-modules/ar0234-global-shutter-gmsl-camera-module.asp,AR0234,-30°C to 70°C,Yes,2,120FPS,216,all platform global-shutter,1/2.6,/webstore.asp#NileCAM25,Color,120,GMSL2,Full HD
NileCAM21&nbsp;&nbsp;(GMSL2),/camera-modules/ar0233-hdr-gmsl-camera-module.asp,AR0233AT,-40°C to 85°C,Yes,2,60FPS,217,all gmsl-cameras,1/2.5,/webstore.asp#NileCAM25,Color,60,GMSL2,Full HD
NileCAM20&nbsp;&nbsp;(GMSL2),/camera-modules/ar0230-hdr-gmsl-camera-module.asp,AR0230AT,-40°C to 85°C,Yes,2,60FPS,218,all gmsl-cameras,1/2.7,/webstore.asp#NileCAM20,Color,60,GMSL2,Full HD
NeduCAM25  (FPD-Link III),/fpd-link-iii-camera-modules/full-hd-ar0234-global-shutter-camera.asp,AR0234,-20°C to 70°C,Yes,2,120FPS,219,all gmsl-cameras global-shutter,1/2.6,/webstore.asp#NeduCAM25,Color,120,FPD-Link III,Full HD
STURDeCAM25 &nbsp;&nbsp;(GMSL2),/camera-modules/gmsl2-ar0234-global-shutter-camera.asp,AR0234,-30°C to 70°C,Yes,2,120FPS,220,all gmsl-cameras global-shutter,1/2.6,/webstore.asp#sturdecam25,Color,120,GMSL2,Full HD
STURDeCAM21&nbsp;&nbsp;(GMSL2),/camera-modules/ip67-ar0233-gmsl2-hdr-camera.asp,AR0233AT,-40°C to 85°C,Yes,2,45FPS,221,all gmsl-cameras,1/2.5,/webstore.asp#STURDeCAM21,Color,45,GMSL2,2.0 MP
STURDeCAM20&nbsp;&nbsp;(GMSL2),/camera-modules/gmsl2-surround-view-camera.asp,AR0230AT,-40°C to 85°C,Yes,2,60FPS,222,all gmsl-cameras,1/2.5,/webstore.asp#sturdecam,Color,60,GMSL2,Full HD
NileCAM30,/gmsl-camera-ar0330-lowlight-cameramodule.asp,AR0330,-30°C to 55°C,Yes,3,60FPS,223,,1/3,/webstore.asp#NileCAM30,Color,60,GMSL,3.4 MP
NileCAM30_USB,/gmsl-camera-with-usb-interface.asp,AR0330,-30°C to 55°C,Yes,3,60FPS,224,,1/3,/webstore.asp#NileCAM30_USB,Color,60,GMSL,3.4 MP
