productcode,productlink,sensordet,operatetemp,isp,sortmp,fpsdet,listid,productfilter,sensorformat,webstorelink,chromedet,sortfps,connectordet,resolutiondet
Hyperyon&reg;,/usb-cameras/imx290-low-light-usb-camera.asp,IMX290,-30°C to 70°C,Yes,2,60FPS,41,,1/2.8,/order-now/e-cam22_usb.asp,Color,60,USB 2.0,2.0 MP
e-CAM51_USB,/5mp-usb-camera-module.asp,OV5640,0°C to 50°C,Yes,5,30FPS,42,,1/4,/webstore.asp#51usb,Color,30,USB 2.0,5.0 MP
EdgeECAM50_USB  (Smart AI Camera),/usb-cameras/medical-and-life-science/edge-ai-camera.asp,AR0521,-,Yes,5,60FPS,43,all usb-cameras usb-3-camera smart-camera usb-cameras2,1/2.5,/webstore.asp#EdgeECAM50_USB,Color,60,USB 2.0,5.0 MP
Tara,/3D-USB-stereo-camera.asp,MT9V024,-30°C to 70°C,No,0,60FPS,44,,1/3,/webstore.asp#tara_Stereo_Vision_camera,Mono,60,USB 3.0,0.3 MP
See3CAM_CX3_RDK_H01R2,/CX3-Reference-Design-Kit.asp,OV5640,,Yes,5,60FPS,45,,1/4,/webstore.asp#CX3price,Color,60,USB 3.0,5.0 MP
e-CAM160A_MI298_MOD,/camera-modules/16mp-sony-imx298-autofocus-mipi-camera-module.asp,IMX298,-20°C to 70°C,No,16,60FPS,46,all camera-modules high-resolution,1/2.8,/webstore.asp,Color,60,MIPI CSI-2,16.0 MP
e-CAM86_CUMI715C_MOD,/camera-modules/sony-starvis-imx715-8mp-low-light-camera-module.asp,IMX715,-30°C to 70°C,No,8,90FPS,47,high-resolution,1/2.8,/webstore.asp,RAW Bayer,90,MIPI CSI-2,8.0 MP
e-CAM85_CUMI0830C_NIR_MOD,/camera-modules/8mp-rgb-ir-camera-module.asp,AR0830,-30°C to 85°C,Yes,8,60FPS,48,all camera-modules high-resolution,1/2.9,/webstore.asp,Color & NIR,60,MIPI CSI-2,8.0 MP
e-CAM83_CUMI415_MOD,/camera-modules/imx415-sony-starvis-4k-low-light-camera-module.asp,IMX415,-30°C to 70°C,No,8,90FPS,49,all camera-modules high-resolution,1/2.8,/webstore.asp#e-CAM83_CUMI415_MOD,RAW Bayer,90,MIPI CSI-2,8.0 MP
e-CAM84_CUMI485C_MOD,/camera-modules/8mp-sony-imx485-high-sensitivity-ultra-lowlight-camera-module.asp,IMX485,-30°C to 70°C,No,8,90FPS,50,all camera-modules,1/1.2,/webstore.asp,Color,90,MIPI CSI-2,8.0 MP
