fpsicon,operatetemp,productlink,sensordet,productimage,resolutionicon,productcode,isp,filtervalue,sortmp,fpsdet,listid,productfilter,sensorformat,webstorelink,productdesc,connectoricon,chromedet,imagealttag,sortfps,customRoiFps,connectordet,resolutiondet,focusicon,chromeicon,sensoricon
,-,/usb-cameras/ar2020-20mp-high-resolution-camera.asp,AR2020,,,See3CAM_CU200,Yes,fixed color colornir ir 20mp usb3 rolling grr x86 onsemi 60fps without-enclosure 1-12ps 1-18 yes usb-cameras low-light,16,90FPS,11,all usb-cameras usb-3-camera usb-cameras2,1/1.8,/webstore.asp#See3CAM_CU200,,,Color & NIR,,30,,USB 3.0,20.0 MP,,,
,-20°C to 60°C,/usb-cameras/16mp-sony-imx298-autofocus-usb-camera.asp,IMX298,,,See3CAM_160,Yes,auto color 16mp usb3 rolling hd ultra-hd x86 sony 30fps without-enclosure 1-12ps 1-28 industrial_tablets dermatology access_control_and_analytics yes exmor usb-cameras,16,30FPS,12,all usb-cameras usb-3-camera,1/2.8,/order-now/see3cam_160.asp#16mpimx298camera,,,Color,,30,,USB 3.0,16.0 MP,,,
,-30°C to 70°C,/13mp-autofocus-usb-camera.asp,AR1335,,,See3CAM_130,Yes,300-2000 auto color 13mp usb3 rolling hd ultra-hd x86 onsemi 100fps without-enclosure dentistry retail_kiosk retail_store_automation smart_classrooms 1-1ps 1-32 yes grr usb-cameras,13,120FPS,13,all usb-cameras usb-3-cameras usb-cameras2,1/3.2,/order-now/see3cam_130.asp#13MP_AF_camera,,,Color,,120,816FPS,USB 3.0,13.0 MP,,,
,-30°C to 70°C,/4k-usb-camera.asp,AR1335,,,See3CAM_CU135,Yes,300-2000 fixed color 13mp usb3 rolling hd ultra-hd x86 onsemi 100fps with-enclosure parking_lot_management retail_kiosk retail_store_automation biometrics_border_control sports_broadcasting smart_classrooms 1-1ps 1-32 yes grr,13,120FPS,14,all usb-cameras2,1/3.2,/order-now/see3cam_cu135.asp#CU135USB,,,Color,,120,816FPS,USB 3.0,13.0 MP,,,
,-30°C to 70°C,/usb-cameras/ar1335-4k-monochrome-camera.asp,AR1335M,,,See3CAM_CU135M,No,13mp usb3 x86 fixed monochrome ir hd rolling onsemi 60fps without-enclosure 1-1ps 1-32 without-enclosure no grr usb-cameras,13,60FPS,15,all usb-cameras usb-3-camera,1/3.2,/order-now/see3cam-cu135m.asp#CU135MHUSB,,,Mono & NIR,,60,,USB 3.0,13.0 MP,,,
,-30°C to 70°C,/usb-cameras/4k-onsemi-ar0830-usb3-camera.asp,AR0830,,,See3CAM_CU84,Yes,fixed color 8mp usb3 rolling onsemi x86 60fps without-enclosure 2.1ps 1-29 yes,8,60FPS,16,,1/2.9,/webstore.asp,,,Color,,60,,USB 3.0,8.0 MP,,,
,-30°C to 85°C,/usb-cameras/8mp-4k-rgb-ir-usb3-camera.asp,AR0830,,,See3CAM_CU83,Yes,fixed color ir colornir 8mp usb3 rolling ultra-hd rgbir hd onsemi 60fps without-enclosure x86  2.1ps 1-29 yes,8,60FPS,17,,1/2.9,/webstore.asp,,,Color & NIR,,60,,USB 3.0,8.0 MP,,,
,-30°C to 70°C,/usb-cameras/ar0821-8mp-4k-hdr-camera.asp,AR0821,,,See3CAM_CU81,Yes,fixed color 8mp usb3 rolling ultra-hd hdr hd onsemi 60fps with-enclosure retail_store_automation sports_broadcasting x86 retail_kiosk smart_traffic parking_lot_management access_control_and_analytics plm 2.1ps 1-2 yes usb-cameras,8,60FPS,18,all usb-cameras usb-3-camera usb-cameras2,1/1.7,/order-now/see3cam-cu81.asp#CU81USB,,,Color,,60,,USB 3.0,8.0 MP,,,
/images/icons/fps.png,-30°C to 70°C,/ar0521-monochrome-usb-nir-camera.asp,AR0521,/images/hub-page/see3cam_cu55m.png,/images/icons/resolution.png,See3CAM_CU55M,No,5mp usb3 x86 onsemi fixed rolling monochrome ir low-noise hd 100fps without-enclosure 2-2ps 1-25 biometrics_border_control no grr usb-cameras,5,112FPS,19,all usb-cameras usb-3-cameras usb-cameras2,1/2.5,/order-now/see3cam_cu55m.asp#CU55MHUSB,5MP Monochrome USB Camera,/images/icons/usb.png,Mono & NIR,5MP Monochrome USB Camera,112,,USB 3.0,5.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,-30°C to 70°C,/usb-cameras/5mp-ar0522-monochrome-nir-camera.asp,AR0522,,,See3CAM_CU512M,No,5mp usb3 x86 onsemi fixed rolling monochrome ir low-noise hd 60fps without-enclosure 2-2ps 1-25 biometrics_border_control no usb-cameras,5,60FPS,20,all usb-cameras usb-3-cameras,1/2.5,/order-now/see3cam_cu512m.asp#See3CAM_CU512M,,,Mono & NIR,,60,,USB 3.0,5.0 MP,,,
/images/icons/fps.png,-30°C to 70°C,/5mp-low-noise-usb-camera.asp,AR0521,/images/hub-page/see3cam_cu55.png,/images/icons/resolution.png,See3CAM_CU55,Yes,5mp usb3 x86 onsemi fixed rolling color low-noise hd 60fps with-enclosure quality_control_inspection fish_farming smart_checkout_and_carts retail_store_automation biometrics_border_control sports_broadcasting smart_classrooms 2-2ps 1-25 yes grr,5,60FPS,21,all usb-cameras2,1/2.5,/order-now/see3cam_cu55.asp#CU55USB,5.0 MP Low Noise USB Camera,/images/icons/usb.png,Color,5.0 MP Low Noise USB Camera,60,,USB 3.0,5.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,-10°C to 50°C,/usb-cameras/5mp-sony-pregius-imx264-global-shutter-monochrome-camera.asp,IMX264,,,See3CAM_50CUGM,Yes,300-2000 5mp usb3 x86 fixed monochrome Global hd 100fps with-enclosure 3.4ps 2.3 no pregius usb-cameras,5,145FPS,22,all usb-cameras usb-3-camera global-shutter,2/3,/order-now/see3cam_50cugm.asp#See3CAM_50CUGM,,,Mono,5.0 MP Global Shutter Camera,145,2000FPS,USB 3.0,5.0 MP,,,
,-10°C to 50°C,/usb-cameras/5mp-sony-pregius-imx264-global-shutter-color-camera.asp,IMX264,,,See3CAM_50CUG,Yes,5mp usb3 x86 fixed color Global hd 100fps with-enclosure 3.4ps 2.3 yes pregius usb-cameras,5,140FPS,23,all usb-cameras usb-3-camera global-shutter,2/3,/order-now/see3cam_50cug.asp#See3CAM_50CUG,,,Color,5.0 MP Global Shutter Camera,175,,USB 3.0,5.0 MP,,,
/images/icons/fps.png,-30°C to 70°C,/industrial-cameras/ar0234-usb3-global-shutter-camera.asp,AR0234,/images/hub-page/see3cam_24cug.png,/images/icons/resolution.png,See3CAM_24CUG,Yes,2mp usb3 x86 fixed color Global hd onsemi 100fps with-enclosure 3ps 1-26 ophthalmology autonomous_mobile_robots laboratory_equipment yes usb-cameras,2,120FPS,24,all usb-cameras usb-3-camera usb-cameras2,1/2.6,/order-now/see3cam_24cug.asp#see3cam24cug,Full HD Global Shutter Camera,/images/icons/usb.png,Color,Full HD Global Shutter Camera,120,,USB 3.0,Full HD,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 60°C,/usb-cameras/sony-starvis-imx462-ultra-low-light-camera.asp,IMX462,/images/See3cam/See3CAM_CU27/full-hd-ultra-low-light-usb-camera-thumb.png,/images/icons/resolution.png,See3CAM_CU27,Yes,2mp usb3 ir x86 color fixed rolling hd low-light sony 100fps with-enclosure 2-9ps 1-28 smart_surveillance smart_traffic ophthalmology yes starvis usb-cameras,2,100FPS,25,all usb-cameras usb-3-camera,1/2.8,/order-now/see3cam-cu27.asp#cu27,Sony Starvis IMX462 Ultra Low Light USB Camera,/images/icons/usb.png,Color & NIR,Sony Starvis IMX462 Ultra Low Light USB Camera,100,,USB 3.0,2.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-40°C to 85°C,/usb-hdr-camera-with-led-flicker-mitigation.asp,AR0233AT,/images/hub-page/see3cam_cu22.png,/images/icons/resolution.png,See3CAM_CU22,Yes,fixed color 2mp usb3 rolling hdr hd low-light x86 onsemi 60fps with-enclosure kiosk inside_vehicle auto_farming smart_traffic retail_kiosk 3ps 1-25 yes,2,60FPS,26,all usb-cameras2,1/2.5,/order-now/see3cam_cu22.asp#2mpcu22box,HDR USB Camera with LFM,/images/icons/usb.png,Color,HDR USB Camera with LFM,60,,USB 3.0,2.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-40°C to 85°C,/wide-temperature-range-hdr-usb-cameraboard.asp,AR0230AT,/images/hub-page/see3cam_cu20.png,/images/icons/resolution.png,See3CAM_CU20,Yes,fixed color 2mp usb3 rolling hdr hd low-light x86 onsemi 60fps with-enclosure kiosk inside_vehicle smart_traffic retail_kiosk smart_checkout_and_carts access_control_and_analytics 3ps 1-27 yes grr,2,60FPS,27,all usb-cameras2,1/2.7,/order-now/see3cam_cu20.asp#CU20USB,Wide temperature range HDR Camera,/images/icons/usb.png,Color,Wide temperature range HDR Camera,60,,USB 3.0,Full HD,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,-40°C to +80°C,/usb-cameras/2mp-ov2312-global-shutter-rgb-ir-camera.asp,OV2312,,,See3CAM_27CUG,Yes,2mp usb3 color ir x86 colornir fixed Global rgbir 2-1ps 30fps OmniVision without-enclosure yes usb-3-camera,2,36FPS,28,all usb-cameras usb-3-camera global-shutter,1/2.9,/order-now/see3cam_27cug.asp#See3CAM_27CUG,,,Color & NIR,,36,,USB 3.0,2.0 MP,,,
/images/icons/fps.png,-30°C to 85°C,/industrial-cameras/ov2311-monochrome-global-shutter-camera.asp,OV2311,/images/hub-page/see3cam_20cug.png,/images/icons/resolution.png,See3CAM_20CUG,No,fixed monochrome ir 2mp usb3 Global hd x86 OmniVision 200fps ophthalmology autonomous_mobile_robots with-enclosure 3ps 1-29 no usb-cameras,2,280FPS,29,all usb-cameras usb-3-camera,1/2.9,/order-now/see3cam_20cug.asp#20cug_camera,2.0 MP Global Shutter Camera,/images/icons/usb.png,Mono & NIR,2.0 MP Global Shutter Camera,280,,USB 3.0,2.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,-30°C to 70°C,/UltraHD-USB-Camera.asp,AR1820,,,See3CAM_CU130,Yes,fixed color 13mp usb3 rolling hd ultra-hd x86 onsemi 60fps with-enclosure parking_lot_management access_control_and_analytics smart_classrooms plm 1-25ps 1-23 yes grr,13,60FPS,30,,1/2.3,/order-now/see3cam_cu130.asp,,,Color,,60,,USB 3.0,13.0 MP,,,
/images/icons/fps.png,0°C to 85°C,/multi-frame-buffer-camera.asp,AR1335,/images/hub-page/fscam_cu135.png,/images/icons/resolution.png,FSCAM_CU135,Yes,300-2000 fixed color 13mp usb3 rolling hd ultra-hd x86 onsemi 100fps without-enclosure 1-1ps 1-32 yes grr,13,120FPS,31,all usb-cameras2,1/3.2,/order-now/fscam_cu135.asp#FSCAM_CU135,4K Multi-frame buffer camera,/images/icons/usb.png,Color,13MP Multi-frame buffer camera,120,816FPS,USB 3.0,13.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/usb-cameras/full-hd-low-light-usb-camera-with-stereo-mic.asp,AR0330,/images/hub-page/conversa.png,/images/icons/resolution.png,See3CAM_CU38,Yes,fixed color ir 3-4mp usb3 rolling low-light x86 onsemi 60fps without-enclosure 2-2ps 1-3 yes grr,3,60FPS,32,,1/3,/webstore.asp,3.4 MP Low Light USB Camera,/images/icons/usb.png,Color & NIR,3.4 MP Low Light USB Camera,60,,USB 3.0,3.4 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/ar0330-lowlight-usb-cameraboard.asp,AR0330,/images/hub-page/see3cam_cu30.png,/images/icons/resolution.png,See3CAM_CU30,Yes,fixed color ir 3-4mp usb3 rolling low-light x86 onsemi 60fps with-enclosure access_control_and_analytics 2-2ps 1-3 yes grr,3,60FPS,33,,1/3,/order-now/see3cam_cu30.asp#See3CAM_CU30,3.4 MP Low Light USB Camera Board,/images/icons/usb.png,Color & NIR,AR0330 USB Camera with Enclosure,60,,USB 3.0,3.4 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-40°C to 85°C,/usb-cameras/sony-isx031-120db-hdr-camera.asp,ISX031,/images/See3cam/See3CAM_CU31/sony-isx031-hdr-camera-usb-thumb.png,/images/icons/resolution.png,See3CAM_CU31,Yes,fixed color 3-4mp usb3 sonysubpixel rolling hdr x86 30fps without-enclosure with-enclosure access_control_and_analytics 2-2ps 1-24 yes grr,3,30FPS,34,all usb-cameras2,1/2.42,/webstore.asp,Sony&reg; ISX031 3MP 120dB HDR USB Camera,/images/icons/usb.png,Color,Sony&reg; ISX031 3MP 120dB HDR USB Camera,30,,USB 3.0,3.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/ar0330-liquid-lens-usb-camera-board.asp,AR0330,/images/hub-page/see3cam_30.png,/images/icons/resolution.png,See3CAM_30,Yes,auto color 3-4mp usb3 rolling low-light x86 onsemi 60fps without-enclosure assistive_technology dermatology 2-2ps 1-3 yes grr,3,60FPS,35,,1/3,/order-now/see3cam_30.asp#See3CAM_30,3.4 MP Liquid lens USB Camera,/images/icons/usb.png,Color,3.4 MP Autofocus Low Light USB Camera,60,,USB 3.0,3.4 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-40°C to 85°C,/1MP-USB3-Globalshutter-Camera.asp,AR0134,/images/hub-page/See3cam_10cug.png,/images/icons/resolution.png,See3CAM_10CUG,No,fixed monochrome 1-3mp usb3 Global hd x86 onsemi 60fps without-enclosure aerial_survey 3-75ps 1-3 no,1,60FPS,36,,1/3,/webstore.asp#10CUG_CLMH,1.3 MP Global Shutter Camera,/images/icons/usb.png,Mono,1.3 MP Global Shutter Camera,60,,USB 3.0,1.3 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,0°C to 50°C,/3d-depth-cameras/tof-cameras/usb-interface-3d-tof-camera.asp,Depth sensor + AR0234,,,DepthVista_USB_RGBIRD,Yes,fixed color ir colornir depth 0-3mp x86 usb3 Global tof onsemi 30fps with-enclosure autonomous_mobile_robots 1-4 2-6 yes usb-cameras 3d-depth-camera,0,30FPS,37,all usb-cameras usb-3-cameras 3d-depth-camera usb-cameras2,"Depth: 1/4, AR0234: 1/2.6",/order-now/see3cam_tof_25cug.asp#depthvista,,,"Color,NIR & Depth",,30,,USB 3.0,0.3 MP,,,
,0°C to 50°C,/3d-depth-cameras/tof-cameras/3d-tof-usb-camera-with-depth-and-ir-imaging.asp,Depth sensor,,,DepthVista_USB_IRD,No,fixed ir depth 0-3mp x86 usb3 Global tof 30fps with-enclosure autonomous_mobile_robots 1-4 2-6 no usb-cameras 3d-depth-camera,0,30FPS,38,all usb-cameras usb-3-cameras 3d-depth-camera,Depth: 1/4,/webstore.asp,,,Depth & IR,,30,,USB 3.0,0.3 MP,,,
/images/icons/fps.png,0°C to 70°C,/usb-cameras/sony-imx415-4k-usb-camera.asp,IMX415,/images/hub-page/e-cam82_usb.png,/images/icons/resolution.png,e-CAM82_USB,Yes,fixed color 8mp usb2 rolling x86 hd ultra-hd sony 60fps without-enclosure low-light ultra_lowlight 1-45ps 1-28 retail_kiosk access_control_and_analytics yes starvis,8,60FPS,39,,1/2.8,/order-now/e-cam82_usb.asp,Sony STARVIS&trade; 4K Ultra-HD USB Camera,/images/icons/usb.png,Color,Sony STARVIS&trade; 4K Ultra-HD USB Camera,60,,USB 2.0,8.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,0°C to 70°C,/usb-cameras/4k-sony-imx317-8mp-usb-camera.asp,IMX317,/images/hub-page/e-cam82_usb.png,/images/icons/resolution.png,e-CAM83_USB,Yes,fixed color 8mp usb2 rolling x86 hd ultra-hd hdr sony 30fps with-enclosure 1-62ps 1-25 retail_kiosk yes exmor,8,30FPS,40,,1/2.5,/order-now/e-cam83_usb.asp,4K High resolution HDR USB camera,/images/icons/usb.png,Color,4K High resolution HDR USB camera,30,,USB 2.0,8.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/usb-cameras/imx290-low-light-usb-camera.asp,IMX290,/images/hub-page/hyperyon.png,/images/icons/resolution.png,Hyperyon&reg;,Yes,fixed color 2mp usb2 rolling x86 hdr sony 60fps without-enclosure auto_farming low-light ultra_lowlight 2-9ps 1-28 yes starvis,2,60FPS,41,,1/2.8,/order-now/e-cam22_usb.asp,2MP Low Light USB 2.0 Camera,/images/icons/usb.png,Color,2MP SONY STARVIS IMX290 Ultra Low-light USB camera,60,,USB 2.0,2.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,0°C to 50°C,/5mp-usb-camera-module.asp,OV5640,/images/hub-page/e-cam51_usb.png,/images/icons/resolution.png,e-CAM51_USB,Yes,auto color 5mp usb2 rolling hd x86 OmniVision 30fps without-enclosure handheld kiosk 1-4ps 1-4 yes,5,30FPS,42,,1/4,/webstore.asp#51usb,5MP USB Board Camera,/images/icons/usb.png,Color,5MP USB Board Camera,30,,USB 2.0,5.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,-,/usb-cameras/medical-and-life-science/edge-ai-camera.asp,AR0521,,,EdgeECAM50_USB  (Smart AI Camera),Yes,5mp usb2 color x86 fixed rolling 60fps onsemi smartcam without-enclosure 1-25 yes usb-cameras smart-camera,5,60FPS,43,all usb-cameras usb-3-camera smart-camera usb-cameras2,1/2.5,/webstore.asp#EdgeECAM50_USB,,,Color,,60,,USB 2.0,5.0 MP,,,
/images/icons/fps.png,-30°C to 70°C,/3D-USB-stereo-camera.asp,MT9V024,images/hub-page/tara.png,/images/icons/resolution.png,Tara,No,fixed monochrome 0-3mp usb3 Global stereo x86 onsemi 60fps with-enclosure dentistry biometrics_border_control 6ps 1-3 no,0,60FPS,44,,1/3,/webstore.asp#tara_Stereo_Vision_camera,Tara - USB 3.0 Stereo Vision Camera,/images/icons/usb.png,Mono,Tara - USB Stereo Vision Camera,60,,USB 3.0,0.3 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,,/CX3-Reference-Design-Kit.asp,OV5640,/images/hub-page/see3cam_cx3rdk.png,/images/icons/resolution.png,See3CAM_CX3_RDK_H01R2,Yes,auto color 5mp usb3 rolling hd x86 OmniVision 60fps without-enclosure handheld 1-4ps 1-4 yes,5,60FPS,45,,1/4,/webstore.asp#CX3price,CX3 Reference design,/images/icons/usb.png,Color,CX3 Reference design,60,,USB 3.0,5.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-20°C to 70°C,/camera-modules/16mp-sony-imx298-autofocus-mipi-camera-module.asp,IMX298,/images/hub-page/e-cam160_mi298_mod.png,/images/icons/resolution.png,e-CAM160A_MI298_MOD,No,auto color 16mp mipi rolling hd ultra-hd sony 60fps without-enclosure 1-12ps 1-28 industrial_tablets dermatology access_control_and_analytics no exmor camera-modules,16,60FPS,46,all camera-modules high-resolution,1/2.8,/webstore.asp,16MP AutoFocus Camera Module,/images/icons/usb.png,Color,16MP AutoFocus Camera Module,60,,MIPI CSI-2,16.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/camera-modules/sony-starvis-imx715-8mp-low-light-camera-module.asp,IMX715,/images/hub-page/e-cam83_cumi415_mod.png,/images/icons/resolution.png,e-CAM86_CUMI715C_MOD,No,fixed raw-bayer 8mp mipi rolling sony starvis 60fps hd ultra-hd without-enclosure low-light ultra_lowlight 1-45ps 60fps 1-28 quality_control_inspection sports_broadcasting no starvis,8,90FPS,47,high-resolution,1/2.8,/webstore.asp,8MP 4K IMX715 Low light Camera Module,/images/icons/usb.png,RAW Bayer,4K IMX715 Low light Camera Module,90,,MIPI CSI-2,8.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
,-30°C to 85°C,/camera-modules/8mp-rgb-ir-camera-module.asp,AR0830,,,e-CAM85_CUMI0830C_NIR_MOD,Yes,fixed color ir colornir 8mp mipi rolling 60fps hd ultra-hd without-enclosure yes camera-modules,8,60FPS,48,all camera-modules high-resolution,1/2.9,/webstore.asp,,,Color & NIR,,60,,MIPI CSI-2,8.0 MP,,,
/images/icons/fps.png,-30°C to 70°C,/camera-modules/imx415-sony-starvis-4k-low-light-camera-module.asp,IMX415,/images/hub-page/e-cam83_cumi415_mod.png,/images/icons/resolution.png,e-CAM83_CUMI415_MOD,No,fixed raw-bayer 8mp mipi rolling sony 60fps hd ultra-hd without-enclosure low-light ultra_lowlight 1-45ps 1-28 quality_control_inspection sports_broadcasting no starvis camera-modules,8,90FPS,49,all camera-modules high-resolution,1/2.8,/webstore.asp#e-CAM83_CUMI415_MOD,8MP 4K IMX415 Low light Camera Module,/images/icons/usb.png,RAW Bayer,4K IMX415 Low light Camera Module,90,,MIPI CSI-2,8.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 70°C,/camera-modules/8mp-sony-imx485-high-sensitivity-ultra-lowlight-camera-module.asp,IMX485,/images/hub-page/e-cam160_mi298_mod.png,/images/icons/resolution.png,e-CAM84_CUMI485C_MOD,No,fixed color low-light 8mp mipi rolling ultra-hd hd sony 60fps without-enclosure 2-9ps 1-12 smart_surveillance no starvis camera-modules,8,90FPS,50,all camera-modules,1/1.2,/webstore.asp,8MP Ultra Low Light Camera Module,/images/icons/usb.png,Color,Ultra Low Light Camera Module,90,,MIPI CSI-2,8.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
/images/icons/fps.png,-30°C to 85°C,/camera-modules/imx327-sony-starvis-full-hd-camera-module.asp,IMX327,/images/hub-page/e-cam220_cumi327_mod.png,/images/icons/resolution.png,e-CAM220_CUMI327_MOD,No,fixed raw-bayer 2mp mipi rolling sony 60fps without-enclosure low-light street_surveil ultra_lowlight 2-8ps 1-28 fleet_management quality_control_inspection no  starvis camera-modules,2,60FPS,51,all camera-modules,1/2.8,/webstore.asp,Full HD Ultra-Lowlight Camera Module,/images/icons/usb.png,RAW Bayer,Ultra Low Light Camera Module,60,,MIPI CSI-2,2.0 MP,/images/icons/focus.png,/images/icons/chroma.png,/images/icons/sensor.png
