productcode,productlink,sensordet,operatetemp,isp,filtervalue,sortmp,fpsdet,listid,productfilter,sensorformat,webstorelink,productdesc,chromedet,sortfps,connectordet,resolutiondet
See3CAM_CU22,/usb-hdr-camera-with-led-flicker-mitigation.asp,AR0233AT,-40°C to 85°C,Yes,fixed color 2mp usb3 rolling hdr hd low-light x86 onsemi 60fps with-enclosure kiosk inside_vehicle auto_farming smart_traffic retail_kiosk 3ps 1-25 yes,2,60FPS,26,all usb-cameras2,1/2.5,/order-now/see3cam_cu22.asp#2mpcu22box,HDR USB Camera with LFM,Color,60,USB 3.0,2.0 MP
See3CAM_CU20,/wide-temperature-range-hdr-usb-cameraboard.asp,AR0230AT,-40°C to 85°C,Yes,fixed color 2mp usb3 rolling hdr hd low-light x86 onsemi 60fps with-enclosure kiosk inside_vehicle smart_traffic retail_kiosk smart_checkout_and_carts access_control_and_analytics 3ps 1-27 yes grr,2,60FPS,27,all usb-cameras2,1/2.7,/order-now/see3cam_cu20.asp#CU20USB,Wide temperature range HDR Camera,Color,60,USB 3.0,Full HD
See3CAM_27CUG,/usb-cameras/2mp-ov2312-global-shutter-rgb-ir-camera.asp,OV2312,-40°C to +80°C,Yes,2mp usb3 color ir x86 colornir fixed Global rgbir 2-1ps 30fps OmniVision without-enclosure yes usb-3-camera,2,36FPS,28,all usb-cameras usb-3-camera global-shutter,1/2.9,/order-now/see3cam_27cug.asp#See3CAM_27CUG,,Color & NIR,36,USB 3.0,2.0 MP
See3CAM_20CUG,/industrial-cameras/ov2311-monochrome-global-shutter-camera.asp,OV2311,-30°C to 85°C,No,fixed monochrome ir 2mp usb3 Global hd x86 OmniVision 200fps ophthalmology autonomous_mobile_robots with-enclosure 3ps 1-29 no usb-cameras,2,280FPS,29,all usb-cameras usb-3-camera,1/2.9,/order-now/see3cam_20cug.asp#20cug_camera,2.0 MP Global Shutter Camera,Mono & NIR,280,USB 3.0,2.0 MP
See3CAM_CU130,/UltraHD-USB-Camera.asp,AR1820,-30°C to 70°C,Yes,fixed color 13mp usb3 rolling hd ultra-hd x86 onsemi 60fps with-enclosure parking_lot_management access_control_and_analytics smart_classrooms plm 1-25ps 1-23 yes grr,13,60FPS,30,,1/2.3,/order-now/see3cam_cu130.asp,,Color,60,USB 3.0,13.0 MP
FSCAM_CU135,/multi-frame-buffer-camera.asp,AR1335,0°C to 85°C,Yes,300-2000 fixed color 13mp usb3 rolling hd ultra-hd x86 onsemi 100fps without-enclosure 1-1ps 1-32 yes grr,13,120FPS,31,all usb-cameras2,1/3.2,/order-now/fscam_cu135.asp#FSCAM_CU135,4K Multi-frame buffer camera,Color,120,USB 3.0,13.0 MP
See3CAM_CU38,/usb-cameras/full-hd-low-light-usb-camera-with-stereo-mic.asp,AR0330,-30°C to 70°C,Yes,fixed color ir 3-4mp usb3 rolling low-light x86 onsemi 60fps without-enclosure 2-2ps 1-3 yes grr,3,60FPS,32,,1/3,/webstore.asp,3.4 MP Low Light USB Camera,Color & NIR,60,USB 3.0,3.4 MP
See3CAM_CU30,/ar0330-lowlight-usb-cameraboard.asp,AR0330,-30°C to 70°C,Yes,fixed color ir 3-4mp usb3 rolling low-light x86 onsemi 60fps with-enclosure access_control_and_analytics 2-2ps 1-3 yes grr,3,60FPS,33,,1/3,/order-now/see3cam_cu30.asp#See3CAM_CU30,3.4 MP Low Light USB Camera Board,Color & NIR,60,USB 3.0,3.4 MP
See3CAM_CU31,/usb-cameras/sony-isx031-120db-hdr-camera.asp,ISX031,-40°C to 85°C,Yes,fixed color 3-4mp usb3 sonysubpixel rolling hdr x86 30fps without-enclosure with-enclosure access_control_and_analytics 2-2ps 1-24 yes grr,3,30FPS,34,all usb-cameras2,1/2.42,/webstore.asp,Sony&reg; ISX031 3MP 120dB HDR USB Camera,Color,30,USB 3.0,3.0 MP
See3CAM_30,/ar0330-liquid-lens-usb-camera-board.asp,AR0330,-30°C to 70°C,Yes,auto color 3-4mp usb3 rolling low-light x86 onsemi 60fps without-enclosure assistive_technology dermatology 2-2ps 1-3 yes grr,3,60FPS,35,,1/3,/order-now/see3cam_30.asp#See3CAM_30,3.4 MP Liquid lens USB Camera,Color,60,USB 3.0,3.4 MP
See3CAM_10CUG,/1MP-USB3-Globalshutter-Camera.asp,AR0134,-40°C to 85°C,No,fixed monochrome 1-3mp usb3 Global hd x86 onsemi 60fps without-enclosure aerial_survey 3-75ps 1-3 no,1,60FPS,36,,1/3,/webstore.asp#10CUG_CLMH,1.3 MP Global Shutter Camera,Mono,60,USB 3.0,1.3 MP
DepthVista_USB_RGBIRD,/3d-depth-cameras/tof-cameras/usb-interface-3d-tof-camera.asp,Depth sensor + AR0234,0°C to 50°C,Yes,fixed color ir colornir depth 0-3mp x86 usb3 Global tof onsemi 30fps with-enclosure autonomous_mobile_robots 1-4 2-6 yes usb-cameras 3d-depth-camera,0,30FPS,37,all usb-cameras usb-3-cameras 3d-depth-camera usb-cameras2,"Depth: 1/4, AR0234: 1/2.6",/order-now/see3cam_tof_25cug.asp#depthvista,,"Color,NIR & Depth",30,USB 3.0,0.3 MP
DepthVista_USB_IRD,/3d-depth-cameras/tof-cameras/3d-tof-usb-camera-with-depth-and-ir-imaging.asp,Depth sensor,0°C to 50°C,No,fixed ir depth 0-3mp x86 usb3 Global tof 30fps with-enclosure autonomous_mobile_robots 1-4 2-6 no usb-cameras 3d-depth-camera,0,30FPS,38,all usb-cameras usb-3-cameras 3d-depth-camera,Depth: 1/4,/webstore.asp,,Depth & IR,30,USB 3.0,0.3 MP
e-CAM82_USB,/usb-cameras/sony-imx415-4k-usb-camera.asp,IMX415,0°C to 70°C,Yes,fixed color 8mp usb2 rolling x86 hd ultra-hd sony 60fps without-enclosure low-light ultra_lowlight 1-45ps 1-28 retail_kiosk access_control_and_analytics yes starvis,8,60FPS,39,,1/2.8,/order-now/e-cam82_usb.asp,Sony STARVIS&trade; 4K Ultra-HD USB Camera,Color,60,USB 2.0,8.0 MP
e-CAM83_USB,/usb-cameras/4k-sony-imx317-8mp-usb-camera.asp,IMX317,0°C to 70°C,Yes,fixed color 8mp usb2 rolling x86 hd ultra-hd hdr sony 30fps with-enclosure 1-62ps 1-25 retail_kiosk yes exmor,8,30FPS,40,,1/2.5,/order-now/e-cam83_usb.asp,4K High resolution HDR USB camera,Color,30,USB 2.0,8.0 MP
Hyperyon&reg;,/usb-cameras/imx290-low-light-usb-camera.asp,IMX290,-30°C to 70°C,Yes,fixed color 2mp usb2 rolling x86 hdr sony 60fps without-enclosure auto_farming low-light ultra_lowlight 2-9ps 1-28 yes starvis,2,60FPS,41,,1/2.8,/order-now/e-cam22_usb.asp,2MP Low Light USB 2.0 Camera,Color,60,USB 2.0,2.0 MP
e-CAM51_USB,/5mp-usb-camera-module.asp,OV5640,0°C to 50°C,Yes,auto color 5mp usb2 rolling hd x86 OmniVision 30fps without-enclosure handheld kiosk 1-4ps 1-4 yes,5,30FPS,42,,1/4,/webstore.asp#51usb,5MP USB Board Camera,Color,30,USB 2.0,5.0 MP
EdgeECAM50_USB  (Smart AI Camera),/usb-cameras/medical-and-life-science/edge-ai-camera.asp,AR0521,-,Yes,5mp usb2 color x86 fixed rolling 60fps onsemi smartcam without-enclosure 1-25 yes usb-cameras smart-camera,5,60FPS,43,all usb-cameras usb-3-camera smart-camera usb-cameras2,1/2.5,/webstore.asp#EdgeECAM50_USB,,Color,60,USB 2.0,5.0 MP
Tara,/3D-USB-stereo-camera.asp,MT9V024,-30°C to 70°C,No,fixed monochrome 0-3mp usb3 Global stereo x86 onsemi 60fps with-enclosure dentistry biometrics_border_control 6ps 1-3 no,0,60FPS,44,,1/3,/webstore.asp#tara_Stereo_Vision_camera,Tara - USB 3.0 Stereo Vision Camera,Mono,60,USB 3.0,0.3 MP
See3CAM_CX3_RDK_H01R2,/CX3-Reference-Design-Kit.asp,OV5640,,Yes,auto color 5mp usb3 rolling hd x86 OmniVision 60fps without-enclosure handheld 1-4ps 1-4 yes,5,60FPS,45,,1/4,/webstore.asp#CX3price,CX3 Reference design,Color,60,USB 3.0,5.0 MP
e-CAM160A_MI298_MOD,/camera-modules/16mp-sony-imx298-autofocus-mipi-camera-module.asp,IMX298,-20°C to 70°C,No,auto color 16mp mipi rolling hd ultra-hd sony 60fps without-enclosure 1-12ps 1-28 industrial_tablets dermatology access_control_and_analytics no exmor camera-modules,16,60FPS,46,all camera-modules high-resolution,1/2.8,/webstore.asp,16MP AutoFocus Camera Module,Color,60,MIPI CSI-2,16.0 MP
e-CAM86_CUMI715C_MOD,/camera-modules/sony-starvis-imx715-8mp-low-light-camera-module.asp,IMX715,-30°C to 70°C,No,fixed raw-bayer 8mp mipi rolling sony starvis 60fps hd ultra-hd without-enclosure low-light ultra_lowlight 1-45ps 60fps 1-28 quality_control_inspection sports_broadcasting no starvis,8,90FPS,47,high-resolution,1/2.8,/webstore.asp,8MP 4K IMX715 Low light Camera Module,RAW Bayer,90,MIPI CSI-2,8.0 MP
e-CAM85_CUMI0830C_NIR_MOD,/camera-modules/8mp-rgb-ir-camera-module.asp,AR0830,-30°C to 85°C,Yes,fixed color ir colornir 8mp mipi rolling 60fps hd ultra-hd without-enclosure yes camera-modules,8,60FPS,48,all camera-modules high-resolution,1/2.9,/webstore.asp,,Color & NIR,60,MIPI CSI-2,8.0 MP
e-CAM83_CUMI415_MOD,/camera-modules/imx415-sony-starvis-4k-low-light-camera-module.asp,IMX415,-30°C to 70°C,No,fixed raw-bayer 8mp mipi rolling sony 60fps hd ultra-hd without-enclosure low-light ultra_lowlight 1-45ps 1-28 quality_control_inspection sports_broadcasting no starvis camera-modules,8,90FPS,49,all camera-modules high-resolution,1/2.8,/webstore.asp#e-CAM83_CUMI415_MOD,8MP 4K IMX415 Low light Camera Module,RAW Bayer,90,MIPI CSI-2,8.0 MP
e-CAM84_CUMI485C_MOD,/camera-modules/8mp-sony-imx485-high-sensitivity-ultra-lowlight-camera-module.asp,IMX485,-30°C to 70°C,No,fixed color low-light 8mp mipi rolling ultra-hd hd sony 60fps without-enclosure 2-9ps 1-12 smart_surveillance no starvis camera-modules,8,90FPS,50,all camera-modules,1/1.2,/webstore.asp,8MP Ultra Low Light Camera Module,Color,90,MIPI CSI-2,8.0 MP
e-CAM220_CUMI327_MOD,/camera-modules/imx327-sony-starvis-full-hd-camera-module.asp,IMX327,-30°C to 85°C,No,fixed raw-bayer 2mp mipi rolling sony 60fps without-enclosure low-light street_surveil ultra_lowlight 2-8ps 1-28 fleet_management quality_control_inspection no  starvis camera-modules,2,60FPS,51,all camera-modules,1/2.8,/webstore.asp,Full HD Ultra-Lowlight Camera Module,RAW Bayer,60,MIPI CSI-2,2.0 MP
e-CAM221_CUMI462_MOD,/camera-modules/sony-starvis-imx462-low-light-camera-module.asp,IMX462,-30°C to 85°C,No,fixed raw-bayer color low-light 2mp mipi rolling hd sony 100fps without-enclosure 2-9ps 1-28 smart_surveillance smart_traffic ophthalmology no starvis camera-modules,2,120FPS,52,all camera-modules,1/2.8,/webstore.asp,2MP Ultra Low Light Camera Module,Color,120,MIPI CSI-2,Full HD
e-CAM21_CUMI290_MOD,/imx290-sony-starvis-cmos-camera-module.asp,IMX290,-30°C to 85°C,No,fixed raw-bayer 2mp mipi rolling hdr sony 100fps without-enclosure laboratory_equipment low-light ultra_lowlight 2-9ps 1-28 no starvis camera-modules,2,120FPS,53,all camera-modules,1/2.8,/webstore.asp#cumi290mod,2MP IMX290 ultra-lowlight Camera Module,RAW Bayer,120,MIPI CSI-2,2.0 MP
e-CAM27_CUMI290_MOD,/camera-modules/imx290-sony-starvis-2mp-camera-module.asp,IMX290,-30°C to 85°C,Yes,fixed color 2mp mipi rolling hdr sony 60fps without-enclosure laboratory_equipment low-light ultra_lowlight 2-9ps 1-28 yes starvis camera-modules,2,60FPS,54,all camera-modules,1/2.8,/webstore.asp,2MP IMX290 ultra-lowlight Camera Module,Color,60,MIPI CSI-2,2.0 MP
e-CAM137A_CUMI1335_MOD,/ar1335-camera-module.asp,AR1335,-30°C to 70°C,Yes,300-2000 fixed color 13mp mipi rolling hd ultra-hd onsemi 100fps without-enclosure biometrics_border_control smart_classrooms 1-1ps 1-32 yes,13,100FPS,55,all camera-modules2 high-resolution,1/3.2,/webstore.asp#137CUMI1335MOD,13MP AR1335 FixedFocus Camera Module,Color,100,MIPI CSI-2,13.0 MP
e-CAM131_CUMI1335_MOD,/4k-camera-module.asp,AR1335,-30°C to 70°C,Yes,300-2000 fixed color 13mp mipi rolling hd ultra-hd onsemi 100fps without-enclosure ophthalmology dentistry assistive_technology dermatology biometrics_border_control smart_classrooms 1-1ps 1-32 yes camera-modules,13,120FPS,56,all camera-modules camera-modules2 high-resolution,1/3.2,/webstore.asp#CUMI1335,13MP 4K Camera Module,Color,120,MIPI CSI-2,13.0 MP
e-CAM130_CUMI1820_MOD,/13MP_MIPI_camera_module.asp,AR1820,-30°C to 70°C,Yes,fixed color 13mp mipi rolling hd ultra-hd onsemi 60fps without-enclosure plm 1-25ps 1-23 yes,13,72FPS,57,,1/2.3,/webstore.asp,13MP AR1820HS MIPI Camera Module,Color,72,MIPI CSI-2,13.0 MP
e-CAM130_MI1335_MOD,/13mp-onsemi-autofocus-mipi-camera-module.asp,AR1335,-30°C to 70°C,Yes,300-2000 auto color 13mp mipi rolling hd ultra-hd onsemi 100fps without-enclosure assistive_technology dermatology industrial_tablets 1-1ps 1-32 yes camera-modules,13,120FPS,58,all camera-modules camera-modules2 high-resolution,1/3.2,/webstore.asp,13MP AutoFocus Camera Module,Color,120,MIPI CSI-2,13.0 MP
e-CAM82_CUMI0821_MOD,/camera-modules/4k-8mp-hdr-camera-module-ar0821-sensor.asp,AR0821,-30°C to 70°C,Yes,fixed color 8mp mipi rolling onsemi 30fps hd hdr ultra-hd without-enclosure 2-1ps 1-2 kiosk auto_farming parking_lot_management sports_broadcasting laboratory_equipment smart_traffic retail_store_automation yes camera-modules,8,30FPS,59,all camera-modules camera-modules2 high-resolution hdr,1/1.7,/webstore.asp,8MP (4K) HDR MIPI Camera Module,Color,30,MIPI CSI-2,8.0 MP
